lib/libulog/Makefile.depend|libulog|lib/libulog|libulog|Library missing description
lib/libusbhid/Makefile.depend|libusbhid|lib/libusbhid|libusbhid|Library missing description
lib/libusb/Makefile.depend|libusb|lib/libusb|libusb|Library missing description
lib/libutil/Makefile.depend|libutil|lib/libutil|libutil|Library missing description
lib/libveriexec/Makefile.depend|libveriexec|lib/libveriexec|libveriexec|Library missing description
lib/libvgl/Makefile.depend|libvgl|lib/libvgl|libvgl|Library missing description
lib/libvmmapi/Makefile.depend|libvmmapi|lib/libvmmapi|libvmmapi|Library missing description
lib/libwrap/Makefile.depend|libwrap|lib/libwrap|libwrap|Library missing description
lib/libypclnt/Makefile.depend|libypclnt|lib/libypclnt|libypclnt|Library missing description
lib/libz/Makefile.depend|libz|lib/libz|libz|Library missing description
lib/libzstd/Makefile.depend|libzstd|lib/libzstd|libzstd|Library missing description
lib/msun/Makefile.depend|msun|lib/msun|msun|Library missing description
lib/ncurses/form/Makefile.depend|form|lib/ncurses/form|form|Library missing description
lib/ncurses/menu/Makefile.depend|menu|lib/ncurses/menu|menu|Library missing description
lib/ncurses/ncurses/Makefile.depend|ncursesw|lib/ncurses/ncurses|ncursesw|Library missing description
lib/ncurses/panel/Makefile.depend|panel|lib/ncurses/panel|panel|Library missing description
lib/ncurses/tinfo/Makefile.depend|tinfo|lib/ncurses/tinfo|tinfo|Library missing description
